id,data,canale,sku,prodotto,categoria,testo,tema_reale
TCK-2000,2026-07-12,chat,SKU-109,Palline vaginali Kegel Set,palline,"vorrei sostituire il Palline vaginali Kegel Set con un modello diverso, ma non trovo da nessuna parte come si fa il cambio.",reso_rimborso
TCK-2001,2026-06-06,email,SKU-107,Kit plug progressivo,anale,"Ciao, ho scritto su Instagram e mi hanno detto di mandare una mail, ho mandato la mail e nessuno risponde. Potete aiutarmi?",assistenza
TCK-2002,2026-08-17,email,SKU-107,Kit plug progressivo,anale,"Buonasera, non capisco a cosa servano le diverse modalità del Kit plug progressivo, sul libretto non è spiegato. Grazie in anticipo.",uso_prodotto
TCK-2003,2026-04-19,whatsapp,SKU-112,Body in pizzo Luce,lingerie,"Buonasera, pacco bloccato in transito da sei giorni, nessuno mi sa dire nulla. Potete aiutarmi?",logistica_consegna
TCK-2004,2026-04-17,email,SKU-102,Vibratore Rabbit Nova,vibratori,"Buongiorno, il Vibratore Rabbit Nova è arrivato con un difetto sul silicone, c'era proprio un taglio. Grazie in anticipo.",difetto_prodotto
TCK-2005,2026-04-04,whatsapp,SKU-109,Palline vaginali Kegel Set,palline,"Ciao, ordine diviso in due spedizioni senza avvisarmi, ho ricevuto solo metà di quello che ho pagato. Fatemi sapere per favore.",logistica_consegna
TCK-2006,2026-05-15,email,SKU-104,Vibratore per coppie Duo App,coppie-app,"Ciao, il Vibratore per coppie Duo App ha un blocco tasti? Mi si accende da solo in borsa. Potete aiutarmi?",uso_prodotto
TCK-2007,2026-09-06,chat,SKU-106,Masturbatore Echo,per-lui,rimborso arrivato parziale senza nessuna spiegazione sulla differenza.,reso_rimborso
TCK-2008,2026-04-15,whatsapp,SKU-102,Vibratore Rabbit Nova,vibratori,"chiedo da tre settimane lo stato del rimborso, ricevo solo risposte generiche.",reso_rimborso
TCK-2009,2026-06-25,chat,SKU-104,Vibratore per coppie Duo App,coppie-app,il cavo di ricarica in dotazione ha smesso di funzionare quasi subito. Fatemi sapere per favore.,difetto_batteria
TCK-2010,2026-06-21,chat,SKU-109,Palline vaginali Kegel Set,palline,"risposte vaghe, copiate e incollate, che non risolvono il problema.",assistenza
TCK-2011,2026-04-06,chat,SKU-104,Vibratore per coppie Duo App,coppie-app,"il Vibratore per coppie Duo App ha un odore di plastica molto forte appena aperto, non me lo aspettavo da un silicone medicale. Resto in attesa.",difetto_prodotto
TCK-2012,2026-06-17,email,SKU-106,Masturbatore Echo,per-lui,"Ciao, il Masturbatore Echo ha smesso di vibrare dopo pochi utilizzi. Potete aiutarmi?",difetto_prodotto
TCK-2013,2026-06-23,chat,SKU-104,Vibratore per coppie Duo App,coppie-app,"Buonasera, qual è il modo corretto di pulire il Vibratore per coppie Duo App? Posso usare acqua e sapone o serve un detergente apposta?",uso_prodotto
TCK-2014,2026-05-31,email,SKU-105,Anello fallico Orbit,per-lui,"Buonasera, non capisco a cosa servano le diverse modalità del Anello fallico Orbit, sul libretto non è spiegato. Grazie mille.",uso_prodotto
TCK-2015,2026-08-15,email,SKU-109,Palline vaginali Kegel Set,palline,"Buongiorno, il corriere ha segnato consegnato ma non ho ricevuto nulla. Ho scritto e sto ancora aspettando. Resto in attesa.",logistica_consegna
TCK-2016,2026-06-20,instagram,SKU-110,Lubrificante base acqua Fresh 100ml,lubrificanti,"tracking mai aggiornato, non ho idea di dove sia il mio ordine. Un po' di trasparenza in più non guasterebbe.",logistica_consegna
TCK-2017,2026-07-18,email,SKU-110,Lubrificante base acqua Fresh 100ml,lubrificanti,"Buongiorno, il Lubrificante base acqua Fresh 100ml si può usare anche in gravidanza? Resto in attesa.",scelta_preacquisto
TCK-2018,2026-07-23,email,SKU-105,Anello fallico Orbit,per-lui,"Ciao, consegna prevista in 48 ore, ne sono passate 96. Il prodotto mi serviva per un regalo. Fatemi sapere per favore.",logistica_consegna
TCK-2019,2026-08-21,chat,SKU-104,Vibratore per coppie Duo App,coppie-app,"procedura di reso poco chiara, sul sito non si capisce cosa si può restituire e cosa no.",reso_rimborso
TCK-2020,2026-06-21,whatsapp,SKU-107,Kit plug progressivo,anale,"Buongiorno, è il mio primo acquisto di questo tipo e non so proprio da dove iniziare. Potete consigliarmi?",scelta_preacquisto
TCK-2021,2026-06-24,instagram,SKU-105,Anello fallico Orbit,per-lui,"Salve, seconda volta che un vostro ordine arriva in ritardo. La prima l'ho lasciata correre. Potete aiutarmi?",logistica_consegna
TCK-2022,2026-04-27,chat,SKU-104,Vibratore per coppie Duo App,coppie-app,"Ciao, dove si conserva il Vibratore per coppie Duo App? Va bene lasciarlo nella custodia insieme ad altri? Grazie mille.",uso_prodotto
TCK-2023,2026-06-17,chat,SKU-112,Body in pizzo Luce,lingerie,"sto scegliendo tra il Body in pizzo Luce e un altro modello, non capisco la differenza tra i due. Potete aiutarmi?",scelta_preacquisto
TCK-2024,2026-04-24,whatsapp,SKU-102,Vibratore Rabbit Nova,vibratori,"nella scheda del Vibratore Rabbit Nova non sono indicate le dimensioni reali, dal vivo è molto più grande. Fatemi sapere per favore.",informazione_scheda
TCK-2025,2026-05-24,email,SKU-107,Kit plug progressivo,anale,"Salve, rimborso arrivato parziale senza nessuna spiegazione sulla differenza. Grazie mille.",reso_rimborso
TCK-2026,2026-04-04,email,SKU-101,Succhia-clitoride Aurora,succhia-clitoride,"Salve, il Succhia-clitoride Aurora risulta consegnato al vicino ma nessuno mi ha avvisato, l'ho scoperto per caso.",logistica_consegna
TCK-2027,2026-05-04,instagram,SKU-103,Wand massaggiante Vela,wand,"Ciao, il Wand massaggiante Vela ha un blocco tasti? Mi si accende da solo in borsa. Potete aiutarmi?",uso_prodotto
TCK-2028,2026-08-27,instagram,SKU-104,Vibratore per coppie Duo App,coppie-app,l'app si disconnette in continuazione quando lo controllo a distanza. È normale? Grazie mille.,uso_prodotto
TCK-2029,2026-04-01,chat,SKU-101,Succhia-clitoride Aurora,succhia-clitoride,"Salve, come faccio a capire se il Succhia-clitoride Aurora è completamente carico? La spia lampeggia e basta.",uso_prodotto
TCK-2030,2026-08-18,instagram,SKU-110,Lubrificante base acqua Fresh 100ml,lubrificanti,"non capisco a cosa servano le diverse modalità del Lubrificante base acqua Fresh 100ml, sul libretto non è spiegato. Grazie in anticipo.",uso_prodotto
TCK-2031,2026-05-13,whatsapp,SKU-104,Vibratore per coppie Duo App,coppie-app,"Buongiorno, il Vibratore per coppie Duo App si può usare con un lubrificante al silicone o rovina il materiale? Resto in attesa.",uso_prodotto
