id,data,fonte,sku,prodotto,categoria,rating,testo,tema_reale
REC-1000,2026-04-09,sito,SKU-107,Kit plug progressivo,anale,1,il corriere ha segnato consegnato ma non ho ricevuto nulla. Ho scritto e sto ancora aspettando.,logistica_consegna
REC-1001,2026-08-31,sito,SKU-101,Succhia-clitoride Aurora,succhia-clitoride,1,Ho dovuto raccontare tutto da capo a tre persone diverse.,assistenza
REC-1002,2026-08-22,sito,SKU-110,Lubrificante base acqua Fresh 100ml,lubrificanti,3,Il Lubrificante base acqua Fresh 100ml ha smesso di vibrare dopo pochi utilizzi.,difetto_prodotto
REC-1003,2026-06-13,sito,SKU-110,Lubrificante base acqua Fresh 100ml,lubrificanti,2,"Salve, dove si conserva il Lubrificante base acqua Fresh 100ml? Va bene lasciarlo nella custodia insieme ad altri?",uso_prodotto
REC-1004,2026-08-23,sito,SKU-109,Palline vaginali Kegel Set,palline,5,Il Palline vaginali Kegel Set vale ogni euro speso. Comprerò ancora da voi.,feedback_positivo
REC-1005,2026-08-29,sito,SKU-106,Masturbatore Echo,per-lui,5,"Ottimo acquisto, il Masturbatore Echo è silenzioso e ben rifinito. Consigliatissimo.",feedback_positivo
REC-1006,2026-07-04,trustpilot,SKU-104,Vibratore per coppie Duo App,coppie-app,2,La cinghia del Vibratore per coppie Duo App si è strappata la seconda volta che l'ho usato.,difetto_prodotto
REC-1007,2026-07-22,sito,SKU-112,Body in pizzo Luce,lingerie,5,"Ciao, il Body in pizzo Luce vale ogni euro speso. Comprerò ancora da voi.",feedback_positivo
REC-1008,2026-09-04,sito,SKU-110,Lubrificante base acqua Fresh 100ml,lubrificanti,4,però sull'estratto conto compare un nome che si capisce benissimo cosa sia. Sul sito dite il contrario.,imballo_privacy
REC-1009,2026-09-12,sito,SKU-104,Vibratore per coppie Duo App,coppie-app,5,"Materiale piacevole, ricarica veloce, tutto come promesso.",feedback_positivo
REC-1010,2026-05-18,sito,SKU-110,Lubrificante base acqua Fresh 100ml,lubrificanti,1,"Consegna prevista in 48 ore, ne sono passate 96. Il prodotto mi serviva per un regalo.",logistica_consegna
REC-1011,2026-04-05,trustpilot,SKU-106,Masturbatore Echo,per-lui,4,"Buonasera, come faccio a capire se il Masturbatore Echo è completamente carico? La spia lampeggia e basta.",uso_prodotto
REC-1012,2026-04-04,sito,SKU-104,Vibratore per coppie Duo App,coppie-app,3,la cinghia del Vibratore per coppie Duo App si è strappata la seconda volta che l'ho usato.,difetto_prodotto
REC-1013,2026-07-11,sito,SKU-104,Vibratore per coppie Duo App,coppie-app,5,"Salve, il Vibratore per coppie Duo App è esattamente come lo descrivete, qualità ottima e spedizione velocissima.",feedback_positivo
REC-1014,2026-05-05,trustpilot,SKU-104,Vibratore per coppie Duo App,coppie-app,5,"Salve, materiale piacevole, ricarica veloce, tutto come promesso.",feedback_positivo
REC-1015,2026-06-17,sito,SKU-111,Kit bondage Soft Start,bdsm,1,"Chiedo da tre settimane lo stato del rimborso, ricevo solo risposte generiche.",reso_rimborso
REC-1016,2026-05-21,sito,SKU-101,Succhia-clitoride Aurora,succhia-clitoride,5,"Ottimo acquisto, il Succhia-clitoride Aurora è silenzioso e ben rifinito. Consigliatissimo.",feedback_positivo
REC-1017,2026-06-20,sito,SKU-109,Palline vaginali Kegel Set,palline,5,Finalmente un negozio italiano serio su questo tema. Il Palline vaginali Kegel Set è di qualità alta.,feedback_positivo
